year,count
1900,1
1961,1
1962,53
1963,47
1964,42
1965,52
1966,43
1967,27
1968,44
1969,38
1970,12
1971,23
1972,7
1973,6
1974,16
1975,18
1976,10
1977,5
1978,12
1979,2
1980,19
1981,38
1982,12
1983,12
1984,11
1985,10
1986,19
1987,18
1988,27
1989,18
1990,29
1991,17
1992,19
1993,15
1994,5
1995,36
1996,27
1997,21
1998,26
1999,20
2000,40
2001,24
2002,11
2003,24
2004,24
2005,38
2006,27
2007,45
2008,26
2009,19
2010,49
2011,42
2012,41
2013,39
2014,40
2015,42
2016,40
2017,39
2018,43
2019,32
2020,34
2021,31
2022,14
